Rater_A,Rater_B,Rater_C
Human_factors,Human_factors,Human_factors
Evidence_based,Feedback_following_training,Feedback_following_training
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
Evidence_based,Evidence_based,Evidence_based
Resources_and_Funding,Resources_and_Funding,Who_to_target_._Begin_earlier_in_career
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Champions_of_patient_safety_and_people_linking_staff_togther._Link_roles.
Interprofessional_learning,Interprofessional_learning,Human_factors
Training_on_systems_,Training_on_systems_,Training_on_systems_
Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career
Champions_of_patient_safety_and_people_linking_staff_togther._Link_roles.,Champions_of_patient_safety_and_people_linking_staff_togther._Link_roles.,Champions_of_patient_safety_and_people_linking_staff_togther._Link_roles.
Human_factors,Human_factors,Human_factors
Accessibility,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Accessibility,Accessibility,Accessibility
Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career
Online_._Positive_sentiment,Online_._Positive_sentiment,Online_._Positive_sentiment
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
Accessibility,Issues_with_mangement.leadership,Issues_with_mangement.leadership
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Online_._Positive_sentiment,Online_._Positive_sentiment,Online_._Positive_sentiment
Evidence_based,Evidence_based,Evidence_based
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Interactive_learning,Interactive_learning,Interactive_learning
Who_to_target_._target_broader_scope.more_healthcare_workers,Interprofessional_learning,Interprofessional_learning
Issues_with_mangement.leadership,Issues_with_mangement.leadership,Issues_with_mangement.leadership
Feedback_following_training,Feedback_following_training,Feedback_following_training
Accessibility,Accessibility,Accessibility
Simulations,Simulations,Simulations
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Issues_with_mangement.leadership,Simulations,Issues_with_mangement.leadership
Human_factors,Human_factors,Human_factors
Evidence_based,Evidence_based,Evidence_based
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Visual_aides,Visual_aides,Visual_aides
Openess._duty_of_candour_,Staffing_and_other_time_barriers,Openess._duty_of_candour_
Accessibility,Issues_with_mangement.leadership,Accessibility
Training_on_systems_,Training_on_systems_,Training_on_systems_
Accessibility,Theory.lecture_._positive,Theory.lecture_._positive
Involve_frontline_staff_in_devoloping_training,Involve_frontline_staff_in_devoloping_training,Involve_frontline_staff_in_devoloping_training
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer
Human_factors,Human_factors,Human_factors
Standardized_quality_and_competencies,Theory.lecture_._positive,Standardized_quality_and_competencies
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
Interactive_learning,Interactive_learning,Interactive_learning
Simulations,Simulations,Simulations
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes
Standardized_quality_and_competencies,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Involving_the_patient.carer_.,Involving_the_patient.carer_.,Involving_the_patient.carer_.
Interactive_learning,Accessibility,Accessibility
Accessibility,Accessibility,Accessibility
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Interactive_learning,Interactive_learning,Interactive_learning
variety_of_delivery_methods,Visual_aides,Visual_aides
Visual_aides,Visual_aides,Visual_aides
Evidence_based,Evidence_based,Evidence_based
Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career
Visual_aides,Visual_aides,Visual_aides
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Interactive_learning,Interactive_learning,Interactive_learning
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances
Accessibility,Issues_with_mangement.leadership,Issues_with_mangement.leadership
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Resources_and_Funding,Resources_and_Funding,Resources_and_Funding
Resources_and_Funding,Resources_and_Funding,Resources_and_Funding
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Medicines_safety_and_prescribing,Medicines_safety_and_prescribing,Medicines_safety_and_prescribing
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Accessibility,Accessibility,Accessibility
Human_factors,Training_on_systems_,Training_on_systems_
Simulations,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Simulations,Simulations,Simulations
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Raising_awareness._ownership._and_changing_attitudes,Training_on_systems_,Training_on_systems_
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Interactive_learning,Interactive_learning,Interactive_learning
Human_factors,Human_factors,Human_factors
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Simulations,Simulations,Simulations
One_on_one,One_on_one,One_on_one
Online_._Negative_sentiment,Online_._Negative_sentiment,Online_._Negative_sentiment
Simulations,Simulations,Simulations
Standardized_quality_and_competencies,Evidence_based,Evidence_based
Openess._duty_of_candour_,Feedback_following_training,Feedback_following_training
Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes
Online_._Positive_sentiment,Accessibility,Accessibility
Personal_reflection._learning_from_mistakes,Personal_reflection._learning_from_mistakes,Personal_reflection._learning_from_mistakes
Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer
Risk_identification_and_risk_management,Risk_identification_and_risk_management,Risk_identification_and_risk_management
Risk_identification_and_risk_management,Risk_identification_and_risk_management,Risk_identification_and_risk_management
Issues_with_mangement.leadership,Issues_with_mangement.leadership,Issues_with_mangement.leadership
Law_and_policy_content,Law_and_policy_content,Law_and_policy_content
Interactive_learning,Interactive_learning,Interactive_learning
Accessibility,Accessibility,Accessibility
Personal_reflection._learning_from_mistakes,Personal_reflection._learning_from_mistakes,Personal_reflection._learning_from_mistakes
Group_based_learning,Group_based_learning,Group_based_learning
Theory.lecture_._negative,Theory.lecture_._negative,Theory.lecture_._negative
Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances
Human_factors,Human_factors,Human_factors
Accessibility,Accessibility,Accessibility
Online_._Negative_sentiment,Online_._Negative_sentiment,Online_._Negative_sentiment
Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes
Human_factors,Human_factors,Human_factors
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Human_factors,Human_factors,Human_factors
Resources_and_Funding,Resources_and_Funding,Resources_and_Funding
On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning,On_the_job.on_placement._or_practical_learning
Interactive_learning,Interactive_learning,Interactive_learning
Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances
Who_to_target_._High_quality_trainer,Openess._duty_of_candour_,Openess._duty_of_candour_
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Theory.lecture_._negative,Theory.lecture_._negative,Theory.lecture_._negative
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Feedback_following_training,Feedback_following_training,Feedback_following_training
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Issues_with_mangement.leadership,Issues_with_mangement.leadership,Issues_with_mangement.leadership
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Issues_with_mangement.leadership,Issues_with_mangement.leadership,Issues_with_mangement.leadership
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Visual_aides,Visual_aides,Visual_aides
Human_factors,Human_factors,Human_factors
Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Simulations,Simulations,Simulations
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
variety_of_delivery_methods,variety_of_delivery_methods,variety_of_delivery_methods
Interactive_learning,Interactive_learning,Interactive_learning
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
Accessibility,Accessibility,Accessibility
Group_based_learning,Group_based_learning,Group_based_learning
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes,Raising_awareness._ownership._and_changing_attitudes
Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances,Adapting_content_and_teaching_methods_to_needs_and_scientific_advances
Law_and_policy_content,Law_and_policy_content,Law_and_policy_content
Quality_Improvement,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Online_._Negative_sentiment,Online_._Negative_sentiment,Online_._Negative_sentiment
Accessibility,variety_of_delivery_methods,variety_of_delivery_methods
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer
Interactive_learning,Interactive_learning,Interactive_learning
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Interactive_learning,Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Risk_identification_and_risk_management,Risk_identification_and_risk_management,Risk_identification_and_risk_management
Group_based_learning,Group_based_learning,Group_based_learning
Quality_Improvement,Quality_Improvement,Quality_Improvement
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Group_based_learning,Group_based_learning,Group_based_learning
Standardized_quality_and_competencies,Standardized_quality_and_competencies,Standardized_quality_and_competencies
Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer,Who_to_target_._High_quality_trainer
Training_on_systems_,Training_on_systems_,Training_on_systems_
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Standardized_quality_and_competencies,Issues_with_mangement.leadership,Issues_with_mangement.leadership
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
Accessibility,Accessibility,Accessibility
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Interprofessional_learning,Interprofessional_learning,Interprofessional_learning
Staffing_and_other_time_barriers,Staffing_and_other_time_barriers,Staffing_and_other_time_barriers
Simulations,Involving_the_patient.carer_.,Involving_the_patient.carer_.
Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career,Who_to_target_._Begin_earlier_in_career
Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers,Who_to_target_._target_broader_scope.more_healthcare_workers
Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_,Real_life.clinically_relevant_content_
Evidence_based,Evidence_based,Evidence_based
